Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
8475007,Simbolul pierdut,Dan       Brown,"Brown, Dan",,"=""9735401398""","=""9789735401399""",0,3.75,Rao International Publishing Company,Hardcover,477,2009,2009,,2020/03/02,to-read,to-read (#32),to-read,,,,0,0
33913847,Noaptea de foc,Éric-Emmanuel Schmitt,"Schmitt, Éric-Emmanuel",Marieva Ionescu,"=""606779103X""","=""9786067791037""",0,3.85,Humanitas Fiction,Paperback,200,2017,2015,,2020/03/02,to-read,to-read (#31),to-read,,,,0,0
15706399,Zece Negrii Mititei,Agatha Christie,"Christie, Agatha",,"=""""","=""""",0,4.28,Excelsior Multi Press,Paperback,224,2000,1939,,2020/03/02,to-read,to-read (#30),to-read,,,,0,0
11965037,"Crima din Orient Express (Hercule Poirot, #10)",Agatha Christie,"Christie, Agatha",Justina Bandol,"=""9731035621""","=""9789731035628""",0,4.20,RAO,Paperback,250,2008,1934,,2020/03/02,to-read,to-read (#29),to-read,,,,0,0
25559177,Fata din tren,Paula Hawkins,"Hawkins, Paula",Ionela Chirilă,"=""""","=""""",0,3.96,Editura Trei,Paperback,408,2015,2015,,2020/03/02,to-read,to-read (#27),to-read,,,,0,0
40535200,Informatorul,John Grisham,"Grisham, John",Mihaela-Alina Ifrim,"=""""","=""9786060060222""",0,3.96,Rao,Hardcover,384,2018,2016,,2020/03/02,to-read,to-read (#26),to-read,,,,0,0
7140960,Zei americani,Neil Gaiman,"Gaiman, Neil",Liviu Radu,"=""9737330706""","=""""",0,4.11,Tritonic,Paperback,640,2006,2001,,2020/03/02,to-read,to-read (#25),to-read,,,,0,0
11375746,Talismanul,Stephen King,"King, Stephen","Peter Straub, Mihnea Columbeanu, Gabriel Stoian","=""6068073513""","=""9786068073514""",0,4.12,Nemira,Hardcover,736,2009,1984,,2020/03/02,to-read,to-read (#24),to-read,,,,0,0
45280890,"Vălul întunecat (Ty Hauck, #1)",Andrew Gross,"Gross, Andrew",,"=""9734706705""","=""9789734706709""",0,3.73,Paralela 45,Paperback,496,2009,2008,,2020/03/02,to-read,to-read (#23),to-read,,,,0,0
17665756,Casa întunericului,Stephen King,"King, Stephen",Peter Straub,"=""9731430814""","=""9789731430812""",0,4.03,Nemira Publishing House,Paperback,752,2007,2001,,2020/03/02,to-read,to-read (#22),to-read,,,,0,0
13602955,Cimitirul animalelor,Stephen King,"King, Stephen",Ruxandra Toma,"=""9735697610""","=""9789735697617""",0,4.06,Nemira,Paperback,432,2005,1983,,2020/03/02,to-read,to-read (#21),to-read,,,,0,0
