id,book_type,book_language,authors,image,title,book_genre,rating,published_date,description,isbn_13,page_count,book_status,date_added,date_read,goodreads_link
22,1,1,Toby Ball,,Ahivele,,3.37,,,9786066095280,416,3,11/20/2020,,
23,1,1,Frédéric Lenoir,,Oracolul Lunei,,4.05,,,9789731036199,0,3,12/21/2020,,
24,1,1,Michael White,,Echinox,,3.33,,,9789731030791,313,1,3/2/2020,3/7/2020,
25,1,1,Dan Brown,,Îngeri şi demoni,,3.94,,,,544,1,3/2/2020,3/7/2020,
26,1,1,Stephen Booth,,Sălașul morții ,,3.82,,,9789735769475,448,1,3/2/2020,12/21/2020,
27,1,1,Andrew Taylor,,Judecata strainilor ,,3.86,,,,,1,11/24/2020,3/2/2021,
28,1,1,Debra Driza,,Renegade ,,3.87,,,9780062090393,448,1,3/17/2021,,
29,1,1,Isaac Asimov,,"Roboții I. Eu, Robotul ",,4.21,,,9786068673479,280,1,3/17/2021,3/25/2021,
30,1,1,Scott Smith,,Ruinele,,3.67,,,,416,1,3/2/2020,3/7/2020,
31,1,1,Joseph Conrad,,Corsarul. Falk,,3.64,,,9789731430591,448,1,3/2/2020,3/7/2020,
32,1,1,Jack Whyte,,Cavalerii în alb și negru ,,3.78,,,9789731430317,640,1,3/2/2020,3/7/2020,
33,1,1,Raymond Khoury,,Ultimul Templier,,3.62,,,9789735698324,0,1,3/2/2020,3/7/2020,
34,1,1,Raymond Khoury,,The Sanctuary,,3.67,,,9780525950295,432,1,3/2/2020,3/7/2020,
35,1,1,John Fowles,,Mantisa,,3.16,,,9789734642342,228,1,3/2/2020,3/7/2020,
36,1,1,Kenzaburō Ōe,,17,,3.29,,,9789734645343,104,1,3/2/2020,3/7/2020,
37,1,1,Richard Matheson,,Sunt o legendă,,4.06,,,9789731036229,377,1,3/2/2020,3/7/2020,
38,1,1,Jeffrey Archer,,"Nici un ban in plus, nici un ban in minus",,4.04,,,,256,1,3/2/2020,3/7/2020,
39,1,1,Rick Remender,,"Low, Vol. 4: Outer Aspects of Inner Attitudes",,3.79,,,9781534302297,136,3,3/17/2021,,
40,1,1,Rick Remender,,"Low, Vol. 3: Shore of the Dying Light",,3.93,,,9781632157089,128,3,3/17/2021,,
41,1,1,Rick Remender,,"Low, Vol. 2: Before the Dawn Burns Us",,3.91,,,9781632154699,104,3,3/17/2021,,
42,1,1,Rick Remender,,"Low, Vol. 1: The Delirium of Hope",,3.62,,,9781632151940,144,3,3/17/2021,,
43,1,1,Debra Driza,,MILA 2.0 ,,3.69,,,9780062090362,470,3,3/6/2021,,
44,1,1,Debra Driza,,Origins: The Fire ,,3.58,,,9780062262936,15,3,3/17/2021,,
